Project Name - Shriram Labroratory & Diagnosis Centers,,,,,,,,,,
Test Scenario -  Pathology Labs,,,,,,,,,,
Tester Name - Vrushali Waghmare,,,,,        Defect Report of Shriram Labroratory & Diagnosis Centers,,,,,
Review By - Gitanjali Mam,,,,,,,,,,
    Date of Execution -  4/09/25,,,,,,,,,,
     No. of Defect Test Cases - 30,,,,,,,,,,
Test Scenario_Id,Test Scenario Name,Test Case Id,Test Title,Description,Steps,Test Data,Severity,Expected Result,Actual Result,Status
TS_SP_018,Instrumentations,I_0102,Instrumentations,Check the Instrumentations,"1.Check the Instruemnatation of TRANS- ASIA, INDIA- ERBA CHEM PRO :                                                                                              2. Image is visible of TRANS- ASIA, INDIA- ERBA CHEM PRO :                                                                                                                              3.after Zoomout it is clear .","TRANS- ASIA, INDIA- ERBA CHEM PRO Image",Major,Clearly Visible,Not Clearly Visible,Fail
,,I_0110,Instrumentations,Check the Instrumentations,1.Check the Instruemnatation of CHEMULUMINESCENCE IMMUNOASSAY ANALYSER (CLIA)                                                                           2. Image is visible of CHEMULUMINESCENCE IMMUNOASSAY ANALYSER (CLIA)                                                                                                3.after Zoomout it is clear .,CHEMULUMINESCENCE IMMUNOASSAY ANALYSER (CLIA)Image,Major,Clearly Visbile,Not Clearly Visible,Fail
TS_SP_019,Gallery,I_0111,Gallery,Check the gallery,1.Check the Gallery Images.                                                                          2. Image is visible clearly                                                                                             3.after Zoomout it is clear .,Gallery Image,Critical,All Images are Clearly Visbile,Not  All Images are Clearly Visible,Fail
TS_SP_020,Contact Us,Message_0128,Message,Enter Message,1.enter Nos.                                                                                                             2. check is it accept.   ,N/A,Minor,Not Acceptable error ,Acceptable  ,Fail
,,Message_0127,Message,Enter Message,1.enter Alphanumeric values.                                                               2. check is it accept.,N/A,Minor,Not Acceptable error ,Acceptable  ,Fail
,,Message_0128,Message,Enter Message,1.enter Alphabets only.                                                                      2. check is it accept.,N/A,Major,Acceptable  only Alphabets.,Acceptable  all ,Fail
,,SEND_0129,Able To Send Message.,Successfully Send the message,1.Enter all details correctly.                                                                          2. check able to send message..,N/A,Critical,Able to Successfully send the message. ,Not Able to Successfully send them  message. ,Fail
,,SEND_0130,"""Send"" Button","Verify ""Send"" Button Work properly.","1.click on the ""Send"" Button.                                                                       2. verify is it Perform action after click on it.",N/A,Minor,GUI Should be Proper,GUI Should Not be Proper,Fail
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
